sample_ID,EVA_content,Polymer_A,Polymer_B,FR_A,FR_B,FR_C,FR_D,Additive_1,Additive_2,LOI,UL_94,Transmittance,Haze,UL94_score
F001,68.1,20,0,2.0,2.4,0.9,2.6,3.1,0.9,21.6,NR,84.7,29.2,0
F002,59.0,15,0,13.6,5.9,3.8,0.7,0.1,1.9,28.3,V-1,73.6,60.3,2
F003,51.0,20,5,12.1,1.0,6.5,0.4,3.5,0.5,25.5,V-2,74.1,47.9,1
F004,60.9,0,5,9.7,8.7,6.5,3.2,1.3,4.7,29.0,V-1,69.3,69.4,2
F005,60.0,5,5,3.7,9.4,2.8,12.1,0.3,1.7,27.0,V-2,73.8,54.2,1
F006,71.0,10,5,6.4,2.7,1.4,1.5,1.4,0.6,23.7,NR,85.0,27.3,0
F007,58.0,5,15,5.0,5.4,4.4,1.2,1.8,4.2,26.7,V-2,77.3,48.8,1
F008,49.0,20,15,1.1,2.9,2.5,5.5,2.3,1.7,24.7,V-2,80.9,36.3,1
F009,48.0,20,10,7.0,6.5,5.9,0.6,0.7,1.3,28.5,V-1,75.7,47.8,2
F010,75.0,10,5,2.6,2.8,1.3,1.3,0.2,1.8,21.7,NR,86.5,22.8,0
F011,77.0,0,15,2.6,2.9,1.2,1.3,0.0,0.0,23.2,NR,87.3,17.4,0
F012,54.1,5,15,8.1,9.0,4.4,2.4,1.4,0.6,29.0,V-1,72.1,57.4,2
F013,87.9,0,0,3.6,2.3,1.2,1.0,1.5,2.5,21.4,NR,89.2,25.1,0
F014,55.9,15,15,3.3,0.7,0.5,3.6,1.0,5.0,21.9,NR,83.5,31.1,0
F015,47.0,10,15,3.0,11.9,0.3,12.8,0.0,0.0,28.8,V-1,72.7,53.7,2
F016,46.1,20,20,8.0,0.2,3.3,0.4,0.6,1.4,24.1,NR,82.5,27.8,0
F017,45.9,15,5,3.2,14.9,2.3,7.7,1.5,4.5,29.3,V-1,69.3,72.4,2
F018,65.0,0,15,9.3,3.2,7.2,0.3,0.0,0.0,26.1,V-2,79.6,37.8,1
F019,59.0,15,0,3.4,9.5,6.7,4.4,0.9,1.1,26.7,V-2,72.8,50.6,1
F020,58.9,5,20,3.4,3.2,5.0,0.5,2.2,1.8,24.3,V-2,83.1,33.2,1
F021,63.0,10,15,4.0,1.0,2.4,0.6,2.3,1.7,22.6,NR,87.2,27.3,0
F022,51.9,15,5,1.7,7.2,8.1,11.1,0.0,0.0,27.4,V-2,72.6,48.1,1
F023,53.0,10,5,13.6,2.1,5.7,6.6,0.9,3.1,28.2,V-1,69.7,62.2,2
F024,49.0,20,15,4.8,6.6,1.4,3.2,0.0,0.0,26.1,V-2,79.2,36.2,1
F025,60.0,10,20,1.4,3.1,0.4,3.1,1.4,0.6,22.5,NR,86.4,23.3,0
F026,66.0,0,10,6.2,2.9,11.6,3.3,0.0,0.0,27.2,V-2,75.0,38.0,1
F027,50.9,15,10,9.8,9.2,0.7,4.4,0.0,0.0,28.4,V-1,73.9,52.3,2
F028,62.0,15,5,2.3,2.3,4.4,7.0,0.7,1.3,23.8,NR,81.4,33.4,0
F029,77.0,5,0,5.4,3.1,4.3,3.2,0.9,1.1,23.7,NR,83.3,29.4,0
